 SYSTEM :            1
        z       Tref      rho    expan        Cp      Tcond
 LAYER:            1
  2.874942E+06  1.606083E+03  3.249486E+03  3.064861E-05  1.200000E+03  2.962726E+00
  2.859079E+06  1.612442E+03  3.259421E+03  3.027822E-05  1.200000E+03  2.980871E+00
  2.842347E+06  1.619094E+03  3.269837E+03  2.989699E-05  1.200000E+03  2.999954E+00
  2.824677E+06  1.626060E+03  3.280769E+03  2.950457E-05  1.200000E+03  3.020047E+00
  2.805991E+06  1.633361E+03  3.292255E+03  2.910045E-05  1.200000E+03  3.041230E+00
  2.786213E+06  1.641018E+03  3.304331E+03  2.868443E-05  1.200000E+03  3.063580E+00
  2.765255E+06  1.649053E+03  3.317037E+03  2.825616E-05  1.200000E+03  3.087186E+00
  2.743030E+06  1.657489E+03  3.330413E+03  2.781549E-05  1.200000E+03  3.112136E+00
  2.719440E+06  1.666349E+03  3.344503E+03  2.736226E-05  1.200000E+03  3.138525E+00
  2.694395E+06  1.675653E+03  3.359345E+03  2.689664E-05  1.200000E+03  3.166442E+00
  2.667796E+06  1.685421E+03  3.374979E+03  2.641877E-05  1.200000E+03  3.195982E+00
  2.639551E+06  1.695669E+03  3.391438E+03  2.592915E-05  1.200000E+03  3.227231E+00
  2.609576E+06  1.706409E+03  3.408751E+03  2.542850E-05  1.200000E+03  3.260265E+00
  2.577787E+06  1.717652E+03  3.426943E+03  2.491771E-05  1.200000E+03  3.295157E+00
  2.544121E+06  1.729397E+03  3.446026E+03  2.439806E-05  1.200000E+03  3.331958E+00
  2.508531E+06  1.741639E+03  3.466002E+03  2.387108E-05  1.200000E+03  3.370699E+00
  2.470998E+06  1.754362E+03  3.486856E+03  2.333871E-05  1.200000E+03  3.411381E+00
